ID,assists,bonus,bps,CS,creativity,Gc,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,xG,expected_assists,expected_goal_involvements,xGc,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,added,chance_of_playing_next_round,chance_of_playing_this_round,code,event_points,form,news,news_added,news_return,news_updated,squad_number,total_points,web_name,position,team,name
71,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.048226Z,0.0,0.0,477580,0,0.0,Has joined Paris Saint-Germain permanently.,2025-08-12T13:14:36.028170Z,,,,0,Zabarnyi,DEF,Bournemouth,Illia Zabarnyi
72,3,6,212,4,174.4,23,0,64.3,429.2,1157,0,0,0,0,0,39.0,5,13,0.18,2.27,2.45,16.70,138,57,22,160,2025-07-20T23:14:21.050937Z,0.0,,221466,2,2.5,Suspended until 06 Dec,2025-11-29T20:30:06.796610Z,,,,63,Senesi,DEF,Bournemouth,Marcos Senesi Barón
73,0,0,33,1,16.8,6,0,4.8,23.6,296,0,0,0,0,0,8.0,0,5,0.00,0.10,0.10,3.77,12,3,2,14,2025-07-20T23:14:21.053542Z,100.0,100.0,54469,1,0.8,,2025-08-31T01:00:07.918421Z,,,,11,Smith,DEF,Bournemouth,Adam Smith
74,1,6,176,4,236.8,21,0,55.7,262.6,1142,0,0,0,0,0,58.0,3,13,0.20,0.87,1.07,16.13,61,72,27,88,2025-07-20T23:14:21.056177Z,,,494521,1,0.8,,,,,,46,Truffert,DEF,Bournemouth,Adrien Truffert
75,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.058834Z,25.0,25.0,541462,0,0.0,Muscle injury - 25% chance of playing,2025-11-07T15:00:08.469996Z,,,,0,Akinmboni,DEF,Bournemouth,Matai Akinmboni
76,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.061604Z,,,518906,0,0.0,,,,,,0,Bevan,DEF,Bournemouth,Owen Bevan
77,0,0,61,2,5.3,3,0,9.1,44.0,273,0,0,0,0,0,41.0,1,2,0.12,0.19,0.31,3.13,20,9,4,24,2025-07-20T23:14:21.064540Z,,,463981,0,0.0,,,,,,17,Hill,DEF,Bournemouth,James Hill
78,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.067367Z,100.0,100.0,436893,0,0.0,,2025-08-28T17:00:07.495624Z,,,,0,J.Araujo,DEF,Bournemouth,Julián Araujo Zúñiga
79,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.070217Z,0.0,0.0,223911,0,0.0,has joined West Bromwich Albion permanently.,2025-09-02T12:54:34.562307Z,,,,0,Mepham,DEF,Bournemouth,Chris Mepham
80,0,0,2,0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.076938Z,100.0,100.0,575901,0,0.0,,2025-10-16T08:00:09.313004Z,,,,1,Soler,DEF,Bournemouth,Julio Soler Barreto
81,0,1,58,1,115.7,7,1,23.8,72.8,411,0,0,0,0,0,51.0,2,4,0.45,0.72,1.17,6.09,5,16,5,26,2025-07-20T23:14:21.079669Z,100.0,50.0,222683,1,0.8,,2025-11-17T13:00:08.025954Z,,,,19,Kluivert,MID,Bournemouth,Justin Kluivert
82,4,9,220,4,215.0,21,6,87.8,341.6,1080,0,1,0,0,0,320.0,3,12,4.73,0.96,5.69,16.33,9,62,19,90,2025-07-20T23:14:21.082329Z,100.0,75.0,437730,1,0.8,,2025-11-17T13:00:08.045504Z,,,,76,Semenyo,MID,Bournemouth,Antoine Semenyo
